device_group,sensor_package_name,device_query,session_id,stream_id,session_type,sensor_name,measurement_type,unit,raw_time,source_time,time_utc,time_status,value,latitude,longitude,coordinate_source,source_row_index
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983282000,2026-02-13T11:48:02,,source_clock_unverified,0.0,,,withheld_indoor,6
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983162000,2026-02-13T11:46:02,,source_clock_unverified,0.0,,,withheld_indoor,7
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983222000,2026-02-13T11:47:02,,source_clock_unverified,0.0,,,withheld_indoor,8
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983342000,2026-02-13T11:49:02,,source_clock_unverified,0.0,,,withheld_indoor,9
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983462000,2026-02-13T11:51:02,,source_clock_unverified,0.0,,,withheld_indoor,10
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983402000,2026-02-13T11:50:02,,source_clock_unverified,0.0,,,withheld_indoor,11
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983522000,2026-02-13T11:52:02,,source_clock_unverified,0.0,,,withheld_indoor,12
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983582000,2026-02-13T11:53:02,,source_clock_unverified,0.0,,,withheld_indoor,13
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1954970,2860945,FixedSession,AirBeam3-PM10,Particulate Matter,µg/m³,1770983642000,2026-02-13T11:54:02,,source_clock_unverified,0.0,,,withheld_indoor,14
query:AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,,AirBeam3-b0b21c7627c4;AirBeam3-B0B21C7627C4,1955008,2861093,FixedSession,AirBeam3-F,Temperature,F,1771002655000,2026-02-13T17:10:55,,source_clock_unverified,67.0,,,withheld_indoor,1
